itemLink,productImageLink,name,brand,flavor,vgpg,nic,size
https://vapegateae.com/collections/all-e-liquids/products/pink-berry-dinner-lady,//vapegateae.com/cdn/shop/products/pink-berry-dinner-lady-50-ml_300x300.jpg?v=1618927878,Pink Berry - Dinner Lady,Dinner Lady,"mixed berries, lemon, lime",['70/30'],"[0, 3, 6]",[60]
https://vapegateae.com/collections/all-e-liquids/products/kiwi-pom-berry-ice-blvk-fusion,//vapegateae.com/cdn/shop/products/3KiwiPomBerryIce_300x300.jpg?v=1636180487,Kiwi Pom Berry Ice - BLVK Fusion,BLVK Unicorn,"kiwi, pomegranate, strawberry, ice",['70/30'],"[0, 3, 6]",[60]
https://vapegateae.com/collections/all-e-liquids/products/apple-fritter-loaded,//vapegateae.com/cdn/shop/products/loaded-120ml-2_03_300x300.png?v=1662698563,Apple Fritter - Loaded 120ml,Loaded,"apple, pastry and cinnamon",['70/30'],"[3, 6]",[120]
https://vapegateae.com/collections/all-e-liquids/products/frzn-apple-blvk-unicorn,//vapegateae.com/cdn/shop/products/1B_300x300.jpg?v=1616322938,FRZN Apple - BLVK Unicorn (Double Apple),BLVK Unicorn,apples and mint,['70/30'],"[0, 3, 6]",[60]
https://vapegateae.com/collections/all-e-liquids/products/tuck-shop-bubble-trouble-dinner-lady,//vapegateae.com/cdn/shop/products/Tuck_Shop_Bubble_Trouble-Dinner_Lady-Abu_Dhabi-Dubai-UAE_3_300x300.jpg?v=1612354254,Tuck Shop Bubble Trouble - Dinner Lady,Dinner Lady,bubble gum,['70/30'],"[0, 3, 6]",[60]
https://vapegateae.com/collections/all-e-liquids/products/watermelon-sour-bazooka,//vapegateae.com/cdn/shop/products/Sour_Watermelon-Bazooka-Abu_Dhabi-Dubai-UAE_2_300x300.jpg?v=1612354133,Watermelon Sour - Bazooka,Bazooka,sour watermelon,['70/30'],[3],"[50, 60]"
https://vapegateae.com/collections/all-e-liquids/products/bazooka-grape-ice-e-liquid-abudhabi,//vapegateae.com/cdn/shop/files/image_580x_046d90ab-63c5-4a97-8501-04dd1a83bc62_300x300.webp?v=1687841263,Bazooka Grape Ice E-Liquid,Bazooka,grape and menthol,['70/30'],[3],[60]
https://vapegateae.com/collections/all-e-liquids/products/bazooka-dark-tobacco-e-liquid-sharjah,//vapegateae.com/cdn/shop/files/BazookaVapeDarkTobacco_500x_b4bc9080-7169-4059-8696-1f0e833a8910_300x300.webp?v=1687842551,Bazooka Dark Tobacco E-Liquid,Bazooka,tobacco,['70/30'],"[3, 12, 18]",[60]
https://vapegateae.com/collections/all-e-liquids/products/bazooka-grape-e-liquid-uae,//vapegateae.com/cdn/shop/files/8L5eJrWJW8bVsqJE6BOAl59AQANiskMLjMsTzNDG_300x300.jpg?v=1687842104,Bazooka Grape E-Liquid,Bazooka,grape,['70/30'],[3],[60]
https://vapegateae.com/collections/all-e-liquids/products/bazooka-peach-limee-liquid-abudhabi,//vapegateae.com/cdn/shop/files/BAZOOKA-ELIQUID-PEACH-LIME-ABUDHABI-DUBAI-UAE-copy_300x300.png?v=1688046303,Bazooka Peach Lime E-Liquid,Bazooka,"lime, peach",['70/30'],"[3, 12]",[60]
